xmin,ymin,xmax,ymax,width,height,class_id,class_name
587.239013671875,179.14035034179688,669.271484375,387.715576171875,82.032470703125,208.57522583007812,0.0,person
247.09681701660156,171.6370086669922,323.2722473144531,348.7840881347656,76.17543029785156,177.14707946777344,0.0,person
23.892091751098633,170.57627868652344,95.82711791992188,431.4888610839844,71.93502807617188,260.91259765625,0.0,person
335.17205810546875,222.16932678222656,433.5145263671875,422.1130065917969,98.34246826171875,199.9436798095703,0.0,person
179.92613220214844,167.95152282714844,228.44744873046875,305.7306823730469,48.52131652832031,137.77915954589844,0.0,person
132.37510681152344,177.61904907226562,176.80841064453125,309.3126525878906,44.43330383300781,131.693603515625,0.0,person
223.10821533203125,166.48548889160156,259.10406494140625,290.9144287109375,35.995849609375,124.42893981933594,0.0,person
91.36788177490234,169.87530517578125,123.5462875366211,276.0733947753906,32.17840576171875,106.19808959960938,0.0,person
451.1291809082031,163.91038513183594,527.94140625,327.61175537109375,76.81222534179688,163.7013702392578,0.0,person
509.2424621582031,168.4619598388672,559.4815673828125,301.30291748046875,50.239105224609375,132.84095764160156,0.0,person
565.5799560546875,162.04783630371094,590.4215698242188,225.94491577148438,24.84161376953125,63.89707946777344,0.0,person
543.777587890625,157.87939453125,569.5065307617188,222.9285888671875,25.72894287109375,65.0491943359375,0.0,person
378.6111145019531,160.25743103027344,395.9855041503906,185.2568817138672,17.3743896484375,24.99945068359375,0.0,person
294.2933349609375,175.05435180664062,321.72821044921875,271.400146484375,27.43487548828125,96.34579467773438,0.0,person
8.832633018493652,176.49176025390625,36.48897933959961,227.00466918945312,27.65634536743164,50.512908935546875,0.0,person
395.0720520019531,159.42320251464844,413.73370361328125,182.8975067138672,18.661651611328125,23.47430419921875,0.0,person
