frame,xmin,ymin,xmax,ymax,width,height,class_id,class_name
105,1586.31494140625,813.1304321289062,1630.99853515625,944.2481689453125,44.68359375,131.11773681640625,0.0,person
106,1587.5177001953125,811.8187255859375,1634.059814453125,943.9776611328125,46.5421142578125,132.158935546875,0.0,person
111,1592.7333984375,807.7224731445312,1636.5732421875,946.4180908203125,43.83984375,138.69561767578125,0.0,person
121,1617.6689453125,805.87744140625,1665.3138427734375,952.6738891601562,47.6448974609375,146.79644775390625,0.0,person
122,1617.76953125,806.194091796875,1665.363037109375,952.85498046875,47.593505859375,146.660888671875,0.0,person
124,1618.285888671875,808.9078979492188,1668.906494140625,953.4660034179688,50.62060546875,144.55810546875,0.0,person
170,1616.692626953125,805.0909423828125,1668.360595703125,949.2218017578125,51.66796875,144.130859375,0.0,person
171,1616.626220703125,804.7157592773438,1667.8323974609375,949.0377807617188,51.2061767578125,144.322021484375,0.0,person
172,1613.6341552734375,805.7133178710938,1667.63916015625,948.10107421875,54.0050048828125,142.38775634765625,0.0,person
173,1613.42431640625,806.6045532226562,1664.72998046875,947.59228515625,51.3056640625,140.98773193359375,0.0,person
205,456.1533508300781,562.3907470703125,498.6181640625,651.7155151367188,42.464813232421875,89.32476806640625,9.0,traffic light
327,86.90959930419922,160.46365356445312,134.75738525390625,254.4410400390625,47.84778594970703,93.97738647460938,9.0,traffic light
365,779.9359741210938,716.0044555664062,807.4701538085938,778.237060546875,27.5341796875,62.23260498046875,9.0,traffic light
372,856.718017578125,686.2130737304688,891.66748046875,754.2041625976562,34.949462890625,67.9910888671875,9.0,traffic light
373,861.9766235351562,688.9720458984375,898.931884765625,755.7498168945312,36.95526123046875,66.77777099609375,9.0,traffic light
374,870.2151489257812,689.0504760742188,900.8142700195312,765.4344482421875,30.59912109375,76.38397216796875,9.0,traffic light
375,878.3101806640625,700.7554931640625,905.7219848632812,765.3154296875,27.41180419921875,64.5599365234375,9.0,traffic light
376,878.2490844726562,703.9793701171875,911.7648315429688,778.1879272460938,33.5157470703125,74.20855712890625,9.0,traffic light
377,882.4501953125,710.519287109375,914.2529296875,770.2288818359375,31.802734375,59.7095947265625,9.0,traffic light
381,880.2994995117188,740.0602416992188,913.822509765625,820.3914794921875,33.52301025390625,80.33123779296875,9.0,traffic light
382,878.3916015625,745.0379638671875,912.2727661132812,826.2398071289062,33.88116455078125,81.20184326171875,9.0,traffic light
383,873.1228637695312,743.8973999023438,909.3817749023438,826.7727661132812,36.2589111328125,82.8753662109375,9.0,traffic light
384,868.5030517578125,744.8651123046875,903.2943115234375,827.30078125,34.791259765625,82.4356689453125,9.0,traffic light
385,864.4566650390625,742.15576171875,899.3375854492188,827.168212890625,34.88092041015625,85.012451171875,9.0,traffic light
387,854.9487915039062,731.5119018554688,893.0734252929688,817.7982788085938,38.1246337890625,86.286376953125,9.0,traffic light
392,824.6696166992188,699.7933349609375,865.2061767578125,772.8607788085938,40.53656005859375,73.06744384765625,9.0,traffic light
392,823.4674682617188,698.6532592773438,866.4127807617188,798.5509643554688,42.9453125,99.897705078125,9.0,traffic light
393,820.8623046875,695.0177001953125,857.9293823242188,744.0097045898438,37.06707763671875,48.99200439453125,9.0,traffic light
393,818.6453247070312,692.9364624023438,858.6904907226562,788.2846069335938,40.045166015625,95.34814453125,9.0,traffic light
394,812.0581665039062,688.9017333984375,855.26123046875,792.3779907226562,43.20306396484375,103.47625732421875,9.0,traffic light
395,812.0490112304688,688.9105224609375,855.2406616210938,792.398193359375,43.191650390625,103.4876708984375,9.0,traffic light
396,805.92041015625,684.958984375,847.6481323242188,782.4685668945312,41.72772216796875,97.50958251953125,9.0,traffic light
397,791.1500854492188,669.6649780273438,836.3423461914062,770.08154296875,45.1922607421875,100.41656494140625,9.0,traffic light
397,792.6726684570312,670.8787841796875,835.1724853515625,726.8433227539062,42.49981689453125,55.96453857421875,9.0,traffic light
399,776.6646728515625,663.6074829101562,822.9902954101562,765.6997680664062,46.32562255859375,102.09228515625,9.0,traffic light
402,751.26806640625,648.7870483398438,797.4683837890625,762.2486572265625,46.2003173828125,113.46160888671875,9.0,traffic light
403,738.325439453125,641.2177734375,785.8425903320312,740.1217651367188,47.51715087890625,98.90399169921875,9.0,traffic light
407,706.236083984375,629.087646484375,763.0215454101562,753.3566284179688,56.78546142578125,124.26898193359375,9.0,traffic light
408,696.7645263671875,621.819091796875,747.8601684570312,749.11328125,51.09564208984375,127.294189453125,9.0,traffic light
409,683.5908203125,613.716796875,738.1820068359375,746.8612060546875,54.5911865234375,133.1444091796875,9.0,traffic light
410,683.5943603515625,613.697998046875,738.125,746.8757934570312,54.5306396484375,133.17779541015625,9.0,traffic light
411,667.303466796875,607.14306640625,725.283203125,740.6383056640625,57.979736328125,133.4952392578125,9.0,traffic light
412,642.0381469726562,589.7613525390625,698.5194702148438,735.8134765625,56.4813232421875,146.0521240234375,9.0,traffic light
413,626.2960205078125,582.7776489257812,682.3280639648438,729.3992309570312,56.03204345703125,146.62158203125,9.0,traffic light
414,585.385498046875,563.2179565429688,653.566162109375,718.8834228515625,68.1806640625,155.66546630859375,9.0,traffic light
415,569.3192138671875,554.6382446289062,632.912109375,708.9122314453125,63.5928955078125,154.27398681640625,9.0,traffic light
416,551.999755859375,541.150634765625,617.456298828125,705.509033203125,65.45654296875,164.3583984375,9.0,traffic light
417,525.3421020507812,532.9559936523438,596.8350219726562,697.3096923828125,71.492919921875,164.35369873046875,9.0,traffic light
